brand,type,size,products_url
GOO.N,Pants,M,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/goo-n/?m=redmart&ppath=31181:20034,31210:113484"
GOO.N,Tape,L,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/goo-n/?m=redmart&ppath=31181:20035,31210:113485"
GOO.N,Tape,NB,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/goo-n/?m=redmart&ppath=31181:20035,31210:113488"
GOO.N,Tape,S,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/goo-n/?m=redmart&ppath=31210:113483,31181:20035"
GOO.N,Tape,M,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/goo-n/?m=redmart&ppath=31210:113484,31181:20035"
GOO.N,Pants,L,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/goo-n/?m=redmart&ppath=31210:113485,31181:20034"
GOO.N,Pants,XXL,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/goo-n/?m=redmart&ppath=31210:113487,31181:20034"
MamyPoko,Pants,S,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/mamypoko/?m=redmart&ppath=31181:20034,31210:113483"
MamyPoko,Pants,L,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/mamypoko/?m=redmart&ppath=31181:20034,31210:113485"
MamyPoko,Pants,XXL,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/mamypoko/?m=redmart&ppath=31181:20034,31210:113487"
MamyPoko,Tape,M,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/mamypoko/?m=redmart&ppath=31181:20035,31210:113484"
MamyPoko,Tape,L,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/mamypoko/?m=redmart&ppath=31181:20035,31210:113485"
MamyPoko,Tape,NB,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/mamypoko/?m=redmart&ppath=31181:20035,31210:113488"
MamyPoko,Tape,S,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/mamypoko/?m=redmart&ppath=31210:113483,31181:20035"
MamyPoko,Pants,M,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/mamypoko/?m=redmart&ppath=31210:113484,31181:20034"
Merries,Pants,M,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/merries/?m=redmart&ppath=31181:20034,31210:113484"
Merries,Pants,XL,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/merries/?m=redmart&ppath=31181:20034,31210:113486"
Merries,Tape,M,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/merries/?m=redmart&ppath=31181:20035,31210:113484"
Merries,Tape,L,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/merries/?m=redmart&ppath=31181:20035,31210:113485"
Merries,Tape,NB,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/merries/?m=redmart&ppath=31181:20035,31210:113488"
Merries,Tape,S,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/merries/?m=redmart&ppath=31210:113483,31181:20035"
Merries,Pants,L,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/merries/?m=redmart&ppath=31210:113485,31181:20034"
Merries,Tape,XL,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/merries/?m=redmart&ppath=31210:113486,31181:20035"
Merries,Pants,XXL,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/merries/?m=redmart&ppath=31210:113487,31181:20034"
Pampers,Tape,NB,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/pampers/?m=redmart&ppath=31181:20035,31210:113488"
Pampers,Tape,S,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/pampers/?m=redmart&ppath=31210:113483,31181:20035"
Pampers,Tape,M,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/pampers/?m=redmart&ppath=31181:20035,31210:113484"
Pampers,Pants,M,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/pampers/?m=redmart&ppath=31181:20034,31210:113484"
Pampers,Pants,L,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/pampers/?m=redmart&ppath=31210:113485,31181:20034"
Pampers,Tape,L,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/pampers/?m=redmart&ppath=31181:20035,31210:113485"
Pampers,Pants,XXL,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/pampers/?m=redmart&ppath=31181:20034,31210:113487"
Pampers,Tape,XXL,"https://redmart.lazada.sg/shop-baby-toddler-diapers-potties/pampers/?m=redmart&ppath=31181:20035,31210:113487"
